sampno,perid,y,ann_mile,tnc_veh,delivery,county,region,hh_veh,hh_size,hh_emp,charge_work,elec_acc,housing,hh_inc,gender,employ,stu,hh_drv,drive_freq,race
190188,190188.p01,0,6500.0,2,2,19,2,3,2,2,2,3,6,2.0,1,1.0,3.0,1,1,1.0
190188,190188.p01,0,5000.0,2,2,19,2,3,2,2,2,3,6,2.0,1,1.0,3.0,1,1,1.0
190190,190190.p01,0,10000.0,2,2,19,2,4,5,5,1,3,1,6.0,1,1.0,3.0,4,1,6.0
190190,190190.p05,0,8000.0,2,2,19,2,4,5,5,1,3,1,6.0,1,2.0,3.0,4,2,6.0
190190,190190.p04,0,12000.0,1,2,19,2,4,5,5,1,3,1,6.0,1,1.0,3.0,4,1,6.0
190190,190190.p03,0,10000.0,2,2,19,2,4,5,5,1,3,1,6.0,2,1.0,3.0,4,1,6.0
190193,190193.p02,0,2500.0,2,2,43,5,2,2,2,,,1,5.0,2,2.0,3.0,2,2,6.0
190193,190193.p01,1,7500.0,2,2,43,5,2,2,2,,,1,5.0,1,2.0,3.0,2,1,6.0
190194,190194.p03,0,5000.0,2,2,36,2,2,3,3,2,1,1,3.0,1,1.0,3.0,3,1,6.0
190194,190194.p02,0,15000.0,2,2,36,2,2,3,3,2,1,1,3.0,1,1.0,3.0,3,2,6.0
190198,190198.p03,0,3500.0,2,2,1,5,4,3,3,2,1,1,4.0,1,1.0,3.0,3,1,3.0
190198,190198.p03,0,15000.0,2,2,1,5,4,3,3,2,1,1,4.0,1,1.0,3.0,3,1,3.0
190198,190198.p01,0,14000.0,2,2,1,5,4,3,3,2,1,1,4.0,1,1.0,3.0,3,1,3.0
190198,190198.p02,0,12000.0,2,2,1,5,4,3,3,2,1,1,4.0,2,1.0,3.0,3,1,3.0
190200,190200.p01,0,3000.0,2,2,41,5,1,1,1,1,1,6,3.0,1,1.0,3.0,1,1,3.0
190212,190212.p01,0,1000.0,2,2,37,4,3,2,2,,1,1,,2,1.0,3.0,2,1,6.0
190212,190212.p01,0,5000.0,2,2,37,4,3,2,2,,1,1,,2,1.0,3.0,2,1,6.0
190212,190212.p02,0,8000.0,2,2,37,4,3,2,2,,1,1,,1,1.0,3.0,2,1,6.0
190202,190202.p02,0,9000.0,2,2,36,2,1,2,2,3,1,6,2.0,2,2.0,3.0,2,1,4.0
190204,190204.p01,0,15000.0,2,2,21,5,1,1,1,,10,8,4.0,2,2.0,3.0,1,1,6.0
190205,190205.p02,0,200.0,2,2,1,5,2,2,2,,1,1,1.0,2,2.0,3.0,2,3,6.0
190205,190205.p01,0,3000.0,2,2,1,5,2,2,2,,1,1,1.0,1,2.0,3.0,2,2,6.0
190206,190206.p02,0,20000.0,2,2,1,5,4,5,2,,1,1,6.0,2,1.0,3.0,2,1,6.0
190206,190206.p01,0,3000.0,2,2,1,5,4,5,2,,1,1,6.0,1,1.0,3.0,2,1,6.0
190206,190206.p01,0,3000.0,2,2,1,5,4,5,2,,1,1,6.0,1,1.0,3.0,2,1,6.0
190206,190206.p01,0,10000.0,2,2,1,5,4,5,2,,1,1,6.0,1,1.0,3.0,2,1,6.0
190209,190209.p01,0,10000.0,2,2,43,5,3,2,2,,,1,6.0,1,1.0,3.0,2,1,6.0
190209,190209.p01,1,12000.0,2,2,43,5,3,2,2,,,1,6.0,1,1.0,3.0,2,1,6.0
190209,190209.p02,1,10000.0,2,2,43,5,3,2,2,,,1,6.0,2,1.0,3.0,2,1,6.0
190210,190210.p01,0,5000.0,2,2,7,5,3,5,3,2,1,1,6.0,1,1.0,3.0,3,1,6.0
190210,190210.p01,0,20000.0,2,2,7,5,3,5,3,2,1,1,6.0,1,1.0,3.0,3,1,6.0
190210,190210.p02,0,11000.0,2,2,7,5,3,5,3,2,1,1,6.0,2,1.0,3.0,3,1,6.0
190211,190211.p03,0,9000.0,2,2,41,5,3,3,3,,1,1,2.0,2,2.0,1.0,3,1,6.0
190211,190211.p02,0,6000.0,2,2,41,5,3,3,3,,1,1,2.0,2,1.0,3.0,3,1,6.0
190211,190211.p01,0,2000.0,2,2,41,5,3,3,3,,1,1,2.0,1,2.0,3.0,3,2,6.0
190214,190214.p02,0,15000.0,2,2,33,2,2,4,2,2,,1,4.0,1,1.0,3.0,2,1,
190214,190214.p01,0,5000.0,2,2,33,2,2,4,2,2,,1,4.0,2,1.0,3.0,2,1,
190216,190216.p01,0,2000.0,2,2,36,2,2,2,2,,,1,1.0,2,2.0,3.0,2,1,1.0
190216,190216.p02,0,1000.0,2,2,36,2,2,2,2,,,1,1.0,1,2.0,3.0,2,1,1.0
190218,190218.p01,0,20000.0,2,2,39,1,3,2,2,,1,1,3.0,1,2.0,3.0,2,1,6.0
190218,190218.p01,0,6000.0,2,2,39,1,3,2,2,,1,1,3.0,1,2.0,3.0,2,1,6.0
190218,190218.p01,0,3000.0,2,2,39,1,3,2,2,,1,1,3.0,1,2.0,3.0,2,1,6.0
190219,190219.p01,0,12000.0,2,2,1,5,3,2,2,,4,2,6.0,1,1.0,3.0,2,1,6.0
