sampno,vehno,vehicle_num,num_hh_vehicles,year,make,make_other,make_clean,model,model_other,model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
190140,3,3,3,2018,HONDA, ,HONDA,,,,3,3,3,3, ,0,1,0,0,1, ,2018,10,12000,90,2, ,2, ,145,6,1,190140.p01, , , , , , , , , , , , 
190141,2,2,2,1980,Other,porsche,PORSCHE,,,,1,1,1,1,3,0,0,0,0,1, ,1980, ,2000, ,2, ,2, ,25,7,1,190141.p01, , , , , , , , , , , , 
190144,1,1,3,2017,FORD, ,FORD,,,,1,1,9,9, ,0,0,0,0,2, ,2017, ,13000, ,2, ,2, ,22,2,1,190144.p01, , , , , , , , , , , , 
190146,1,1,2,2017,TOYOTA, ,TOYOTA,,,,6,6,1,1, ,0,0,1,0,2, ,2017, ,16000, ,2, ,2, ,64,1,1,190146.p01, , , , , , , , , , , , 
190148,1,1,1,2018,MERCEDES-BENZ, ,MERCEDES-BENZ,,,,1,1,6,6, ,0,0,0,0,3, ,2018,7,20000, ,2, ,2, ,22,3,1,190148.p01, , , , , , , , , , , , 
190150,2,2,2,2013,NISSAN, ,NISSAN,,,,1,1,5,5, ,0,0,0,0,3, ,2014, ,2000, ,2, ,2, ,22,3,2,190150.p02, , , , , , , , , , , , 
190152,2,2,3,2015,BMW, ,BMW,,,,1,1,6,6, ,0,0,0,0,1, ,2015, ,150000, ,2, ,2, ,23,3,2,190152.p02, , , , , , , , , , , , 
190153,3,3,3,2019,ACURA, ,ACURA,,,,1,1,2,2, ,0,0,0,0,2, ,2018,12,5000, ,2, ,2, ,27,3,2,190153.p02, , , , , , , , , , , , 
190157,1,1,2,2014,HONDA, ,HONDA,,,,1,1,6,6, ,0,0,0,0,1, ,2013, ,40000, ,2, ,2, ,29,3,2,190157.p02, , , , , , , , , , , , 
190158,2,2,2,2014,ACURA, ,ACURA,,,,1,1,7,7, ,0,0,0,0,1, ,2013, ,12000, ,2, ,2, ,20,4,1,190158.p01, , , , , , , , , , , , 
