sampno,perid,perno,relationship,gender,employment,student,education,license,vehno,vehicle_string,drive_freq,transit_freq,tnc_freq,job_type,work_mode,work_distance,work_days,school_mode,school_distance,ethnicity,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_6_x
191830,191830.p01,1,8,1,4,4,8,1,191830.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191832,191832.p01,1,8,2,2,4,3,1,191832.v01,,1,0,0,1,1,15,5, , ,2,0,0,0,0,1,0,0, 
191832,191832.p02,2,1,1,5,4,4,1,191832.v01,,2,0,0,3, , , , , ,1,0,0,0,0,1,0,0, 
191835,191835.p02,2,1,1,1,4,3,1,191835.v02,,1,10,0,1,13,58,5, , ,1,0,0,0,0,1,0,0, 
191837,191837.p01,1,8,2,2,4,6,1,191837.v01,,1,0,1,2,1,2.5,5, , ,2,0,0,0,0,1,0,0, 
191838,191838.p02,2,1,1,1,4,2,1,191838.v02,,1,0,0,1,1,5,5, , ,2,0,0,0,0,1,0,0, 
191840,191840.p01,1,8,1,5,4,6,1,191840.v01,,1,0,0,2,1,15,3, , ,2,0,0,0,0,1,0,0, 
191842,191842.p03,3,3,2,4,4,1,1,191842.v02,,1,0,0, , , , , , ,2,0,1,0,0,0,0,0, 
191846,191846.p01,1,8,2,5,4,6,1,191846.v01,,2,0,0,3, , , , , ,2,0,0,0,0,1,0,0, 
191847,191847.p01,1,8,2,1,4,6,1,191847.v02,,1,0,0,1,1,20,5, , ,2,0,0,1,0,0,0,0, 
191851,191851.p01,1,8,1,2,4,8,1,191851.v01,,1,0,0,2,1,35,2, , ,2,0,0,0,0,1,0,0, 
191850,191850.p01,1,8,1,1,4,6,1,191850.v02,,1,5,0,1,11,12,5, , ,2,0,0,0,0,0,0,1, 
191853,191853.p01,1,8,1,3,4,4,1,191853.v01,,1,0,0,2,1,35,4, , ,2,0,0,0,0,1,0,0, 
191855,191855.p02,2,1,2,4,4,1,1,191855.v03,,2,0,0, , , , , , ,2,0,1,0,0,0,0,0, 
191857,191857.p02,2,1,2,4,4,6,1,191857.v02,,2,0,1, , , , , , ,2,0,0,0,0,1,0,0, 
191859,191859.p01,1,8,2,4,4,6,1,191859.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191859,191859.p04,4,2,2,4,2,2,1,191859.v04,,1,0,0, , , , ,1,10,2,0,0,0,0,1,0,0, 
191861,191861.p01,1,8,2,2,4,8,1,191861.v01,,1,0,1,1,1,30,3, , ,2,0,0,0,0,0,0,1, 
191863,191863.p01,1,8,2,4,4,8,1,191863.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191864,191864.p02,2,1,2,4,4,4,1,191864.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191867,191867.p01,1,8,1,1,4,8,1,191867.v03,,1,0,4,2,1,30,5, , ,3,0,0,0,0,0,0,1, 
191870,191870.p01,1,8,2,5,4,6,1,191870.v03,,1,0,0,3, , , , , ,2,0,0,0,0,1,0,0, 
191926,191926.p01,1,8,1,1,4,8,1,191926.v02,,1,0,0,1,1,12,5, , ,2,0,0,1,0,0,0,0, 
191874,191874.p02,2,1,1,1,4,2,1,191874.v01,,1,0,0,1,1,30,5, , ,2,0,0,0,0,1,0,0, 
191878,191878.p01,1,8,1,1,4,6,1,191878.v01,,1,0,0,1,1,45,5, , ,2,0,0,0,0,1,0,0, 
191884,191884.p01,1,8,2,1,4,6,1,191884.v01,,1,0,1,1,1,17,5, , ,1,0,0,0,0,1,0,0, 
191887,191887.p02,2,1,2,1,4,8,1,191887.v02,,1,0,0,1,1,10,5, , ,2,0,1,0,0,0,0,0, 
191888,191888.p01,1,8,1,1,4,4,1,191888.v01,,1,0,0,1,1,26,5, , ,2,0,0,0,0,1,0,0, 
191891,191891.p02,2,4,2,5,4,4,1,191891.v02,,1,0,0,2,1,6,6, , ,2,0,0,0,0,1,0,0, 
191890,191890.p02,2,1,2,1,4,6,1,191890.v02,,1,0,0,1,1,10,4, , ,2,0,0,0,0,1,0,0, 
191895,191895.p02,2,1,2,1,4,8,1,191895.v02,,1,0,0,2,1,20,4, , ,2,0,0,0,0,1,0,0, 
191897,191897.p02,2,1,2,2,4,7,1,191897.v01,,1,0,0,2,1,15,5, , ,2,0,0,0,0,1,0,0, 
191900,191900.p02,2,1,2,2,4,6,1,191900.v01,,1,0,0,3, , , , , ,3,0,0,0,0,0,0,1, 
191901,191901.p01,1,8,1,1,4,6,1,191901.v02,,1,0,0,1,1,20,5, , ,2,0,0,0,0,0,0,1, 
191901,191901.p02,2,1,2,1,3,6,1,191901.v02,,1,0,0,2,1,20,5, , ,3,0,0,0,0,0,0,1, 
191903,191903.p03,3,3,1,1,4,8,1,191903.v03,,1,0,0,1,1,15,4, , ,2,0,0,0,0,0,0,1, 
191904,191904.p01,1,8,1,5,4,5,1,191904.v01,,1,0,0,4, , , , , ,2,0,0,0,0,1,0,0, 
191905,191905.p01,1,8,1,4,4,6,1,191905.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191906,191906.p02,2,1,2,1,4,8,1,191906.v03,,1,0,0,2,1,15,5, , ,2,0,0,0,0,1,0,0, 
191911,191911.p03,3,3,2,4,4,1,1,191911.v03,,1,0,0, , , , , , ,2,0,1,0,0,0,0,0, 
191910,191910.p01,1,8,1,4,1,4,1,191910.v01,,1,0,0, , , , ,1,4,2,0,0,0,0,1,0,0, 
191912,191912.p02,2,1,2,4,4,6,1,191912.v02,,1,0,0, , , , , , ,1,0,0,0,0,0,0,1, 
191915,191915.p02,2,1,2,1,4,8,1,191915.v01,,1,0,0,4, , , , , ,2,0,0,0,0,1,0,0, 
191917,191917.p01,1,8,2,4,4,6,1,191917.v01,,1,0,0, , , , , , ,2,0,0,0,0,0,0,1, 
191919,191919.p02,2,1,2,1,4,8,1,191919.v01,,1,8,0,1,12,30,4, , ,2,0,1,0,0,0,0,0, 
191918,191918.p01,1,8,1,2,1,4,1,191918.v02,,1,0,0,1,1,8,3,1,1,2,0,0,0,0,1,0,0, 
191921,191921.p01,1,8,2,1,4,8,1,191921.v03,,1,0,0,2,1,15,5, , ,2,0,0,0,0,1,0,0, 
191923,191923.p01,1,8,2,4,2,4,1,191923.v01,,2,0,0, , , , ,1,21,2,0,0,1,0,0,0,0, 
191924,191924.p01,1,8,1,2,4,6,1,191924.v01,,1,0,0,1,1,8,3, , ,2,0,0,0,0,1,0,0, 
191925,191925.p01,1,8,1,1,4,8,1,191925.v02,,1,0,0,1,1,25,5, , ,1,0,0,0,0,1,0,0, 
191930,191930.p01,1,8,1,1,4,6,1,191930.v01,,1,0,0,1,1,13,5, , ,2,0,1,0,0,0,0,0, 
191931,191931.p02,2,1,1,1,4,5,1,191931.v02,,1,0,0,4, , , , , ,2,0,0,0,0,1,0,0, 
194223,194223.p01,1,8,1,1,4,6,1,194223.v01,,1,0,0,1,1,40,4, , ,2,0,0,0,0,1,0,0, 
191939,191939.p01,1,8,1,1,4,5,1,191939.v01,,1,0,0,1,1,100,5, , ,2,0,0,0,0,1,0,0, 
191944,191944.p01,1,8,2,2,4,8,1,191944.v01,,1,0,1,2,1,16,4, , ,2,0,0,0,0,1,0,0, 
191948,191948.p01,1,8,1,1,4,6,1,191948.v01,,1,0,0,1,1,14,4, , ,2,0,0,0,0,1,0,0, 
191949,191949.p01,1,8,1,1,4,6,1,191949.v01,,1,0,0,1,1,10,4, , ,1,0,0,0,0,0,1,0,HISPANIC
191954,191954.p01,1,8,2,4,4,6,1,191954.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191957,191957.p01,1,8,1,4,4,5,1,191957.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,1,0,white
191955,191955.p02,2,1,2,1,4,6,1,191955.v01,,1,0,0,1,1,10,5, , ,2,0,1,0,0,0,0,0, 
191960,191960.p04,4,2,1,2,1,2,1,191960.v03,,1,0,0,4, , , ,1,7,2,0,0,0,0,1,0,0, 
191967,191967.p01,1,8,1,4,4,8,1,191967.v01,,1,0,0, , , , , , ,2,0,1,0,0,0,0,0, 
191969,191969.p02,2,1,1,5,4,2,1,191969.v01,,1,0,0,2,3,15,5, , ,1,0,0,0,0,0,1,0,Mexican
191970,191970.p01,1,8,1,1,4,6,1,191970.v02,,1,0,0,1,1,41,5, , ,2,0,0,0,0,1,0,0, 
191970,191970.p03,3,2,2,4,4,1,1,191970.v02,,2,0,1, , , , , , ,2,0,0,0,0,1,0,0, 
191972,191972.p01,1,8,4,1,4,8,1,191972.v03,,1,0,0,1,1,2,5, , ,1,0,0,0,0,1,0,0, 
191977,191977.p01,1,8,1,5,4,8,1,191977.v01,,1,0,0,2,1,40,1, , ,2,0,0,0,0,1,0,0, 
191976,191976.p02,2,1,2,2,4,6,1,191976.v02,,2,0,0,1,1,5,3, , ,2,0,0,0,0,1,0,0, 
191979,191979.p01,1,8,2,4,4,4,1,191979.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191981,191981.p01,1,8,1,2,4,8,1,191981.v01,,1,0,0,1,2,10,5, , ,2,0,0,0,0,1,0,0, 
191984,191984.p01,1,8,2,1,4,6,1,191984.v01,,1,0,1,1,1,3,4, , ,2,0,0,0,0,1,0,0, 
191986,191986.p01,1,8,2,3,4,7,1,191986.v01,,1,0,0,4, , , , , ,2,0,0,0,0,0,1,0,Mixed + European
191991,191991.p02,2,1,2,4,4,6,1,191991.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191993,191993.p01,1,8,1,1,4,3,1,191993.v02,,1,0,0,2,1,12,5, , ,2,0,0,0,0,1,0,0, 
191996,191996.p01,1,8,1,4,4,8,1,191996.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191996,191996.p02,2,1,2,4,4,2,1,191996.v01,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191997,191997.p02,2,1,2,4,4,2,1,191997.v01,,3,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191998,191998.p01,1,8,2,4,4,8,1,191998.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191998,191998.p02,2,1,2,4,4,8,1,191998.v02,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
191999,191999.p02,2,1,2,1,4,6,1,191999.v02,,1,0,0,1,1,10,5, , ,2,0,0,0,0,1,0,0, 
192000,192000.p02,2,3,2,1,4,6,1,192000.v03,,1,0,0,1,3,7,3, , ,2,0,0,0,0,1,0,0, 
192001,192001.p01,1,8,2,5,4,6,1,192001.v01,,1,0,0,3, , , , , ,2,0,0,0,0,1,0,0, 
192001,192001.p02,2,1,1,1,4,5,1,192001.v01,,2,0,2,1,9,25,5, , ,2,0,0,0,0,1,0,0, 
192002,192002.p01,1,8,1,4,4,6,1,192002.v01,,2,10,1, , , , , , ,2,0,0,0,0,1,0,0, 
192003,192003.p02,2,1,1,4,4,6,1,192003.v02,,1,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192004,192004.p02,2,1,1,1,4,7,1,192004.v03,,1,0,0,1,1,15,5, , ,2,0,1,0,0,0,0,0, 
192015,192015.p01,1,8,1,1,4,7,1,192015.v01,,1,0,0,2,1,30,5, , ,2,0,0,0,0,1,0,0, 
192008,192008.p01,1,8,2,4,4,4,1,192008.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192012,192012.p02,2,1,2,2,4,8,1,192012.v02,,2,0,0,3, , , , , ,2,0,0,0,0,1,0,0, 
192010,192010.p01,1,8,1,5,4,1,1,192010.v01,,2,0,0,4, , , , , ,2,0,1,0,0,0,0,0, 
192017,192017.p01,1,8,2,4,4,4,1,192017.v01,,2,0,0, , , , , , ,2,0,0,0,0,1,0,0, 
192016,192016.p02,2,1,1,1,4,6,1,192016.v02,,1,0,0,1,1,9,5, , ,2,0,0,0,0,1,0,0, 
